Date,Type,Link
2023-02-01 17:26:26,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7026530850410274816?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7026530850410274816%2C7026550788076249088%29
2023-01-31 16:53:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7026180386342719488
2023-01-31 16:52:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7026226318128136192
2023-01-30 16:48:30,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7025855793858027521
2023-01-30 15:03:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025811095239987200
2023-01-30 14:23:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025806535159152640
2023-01-30 14:22:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025806535159152640?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7025806535159152640%2C7025817380500959232%29
2023-01-30 07:55:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7025457979822878720
2023-01-30 07:54:29,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025716232494452736
2023-01-29 15:51:49,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7023740270517125120
2023-01-28 12:03:06,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7025049478671835136
2023-01-28 09:34:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025004140648906752
2023-01-27 16:28:10,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7023995739206799360
2023-01-27 07:20:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021433672448790528
2023-01-26 19:26:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016592240772886528
2023-01-26 17:41:24,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7024427376356798465
2023-01-25 06:09:29,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022146730070523906
2023-01-25 06:05:52,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7023590223167000576?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7023590223167000576%2C7023666409234694144%29
2023-01-25 06:05:49,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7023590223167000576?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7023590223167000576%2C7023680228921073664%29
2023-01-25 06:05:46,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7023590223167000576?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7023590223167000576%2C7023644130509529088%29
2023-01-24 10:09:57,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7023590223167000576?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7023590223167000576%2C7023591804235132928%29
2023-01-23 05:42:30,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7023059459295883264
2023-01-23 05:41:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7023062082723958784
2023-01-22 12:42:58,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021164785559887872
2023-01-22 10:21:20,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022854119627341824
2023-01-21 22:46:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022655544150671360
2023-01-21 22:46:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022592920885051392
2023-01-21 14:42:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022551198410969089
2023-01-21 09:59:29,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7022484824409923584
